Number,Site,BGR,Long,Lat,Country,Analysis,num,FeO,SiO2,Slag
4,Applecross,NG 71183 44331,-5.813603,57.431498,Scotland,New,1,64.38929,19.675,36.4
20,Brisley,TQ 99 40,0.84240014,51.124707,England,Existing,16,65.965,23,3.5
22,Brooklands,TQ 068 632,-0.4675366,51.357843,England,Existing,16,73.3,20.7,2.3
1,Broxmouth ,NT 701 774,-2.48084,55.98863,Scotland,Existing,16,46.73333,27.8,4
29,Bryn y Castell,SH 728 429,-3.8954856,52.968324,Wales,Existing,16,76.51579,14.49474,1200
5,Buchlyvie,NS 5856 9426,-4.276638,56.120065,Scotland,New,1,66.6975,22.365,3.1
28,Crawcwellt West,SH 686 308,-3.9530867,52.858604,Wales,Existing,16,66.50625,19.05,6500
2,Culduthel ,NH 662 417,-4.231094,57.445831,Scotland,Existing,16,58.92773,21.94727,250
6,Ellary Boulder Cave ,NR 7392 7649,-5.620604,55.928171,Scotland,New,1,71.046,15.076,21
3,Grantown Road,NJ 0263 5740,-3.630692,57.596079,Scotland,Existing,16,58.07857,26.71429,34
24,Great Oakley,SP 881 866,-0.70449386,52.470238,England,Existing,16,69.565,23.28,18
12,Heckfield,SU 7260,-0.96786869,51.334544,England,Existing,16,66.60875,23.9825,7
7,Kintore,NJ 78739 16232,-2.353854,57.236307,Scotland,New,1,75.4925,14.68,21
19,Leda Cottages,TQ 965 475,0.81081349,51.192929,England,Existing,16,71.18,17.67,224.7
22,Michelmersh,SU 3367 2586,-1.5212294,51.031124,England,Existing,16,68.10722,21.59556,60
8,Minehowe,HY 5105 0603,-2.852222,58.9387,Scotland,New,1,52.81,24.48125,29
9,Moncreiffe,NO 1328 1933,-3.405083,56.35832,Scotland,New,1,69.786,18.718,3
13,North Cave,SE 878 330,-0.66886703,53.785926,England,Existing,16,66.25,27.02333,2
11,Redcliff,SE 981 249,-0.51515866,53.711311,England,Existing,16,55.42455,28.21091,44
15,Sindlesham,,-0.877727,51.418167,England,Existing,16,70.64182,22.48636,1400
21,Stowe Hill,SO 570 067,-2.6243836,51.757327,England,Existing,16,63.34,22.465,15
27,Trevelgue Head,SW 8251 6304,-5.0634604,50.42684,England,Existing,16,66.94795,21.04068,183
26,Wakerley,SP 941 983,-0.61288598,52.574389,England,Existing,16,70.015,19.1275,34
14,Welham Bridge,SE 793 341,-0.79756304,53.797173,England,Existing,16,67.09133,25.566,5338
